key,x,y
00D071,631.3189,4686.8564
00D072,631.3675,4687.0929
00D073,631.2625,4687.0609
00D074,631.4806,4687.243
00D075,632.3599,4687.3848
00D076,631.653,4687.8522
00D077,631.6785,4688.341
00D078,630.4805,4687.9187
00D079,630.6776,4687.4003
00D080,630.4832,4687.3648
00D081,629.7429,4687.0993
00D082,630.8537,4686.8603
00D083,629.2758,4686.7639
00D084,629.3463,4686.8408
00D085,629.2425,4686.9063
00D086,628.7034,4688.6804
00D087,628.4575,4687.5264
00D088,628.0759,4687.4968
00D089,628.421,4687.2129
00D090,626.9381,4688.9419
00D091,632.2466,4671.3568
00D092,631.5904,4671.647
00D093,630.6555,4671.8566
00D094,630.6099,4671.6816
00D095,633.0958,4671.4105
00D096,632.9737,4671.7585
00D098,634.1701,4672.751
00D099,634.4641,4672.7161
00D100,634.1335,4672.8869
00D101,634.2782,4672.9014
00D102,634.5405,4672.8244
00D103,633.9116,4673.2001
00E001,646.7489,4680.8025
00E002,646.4886,4680.941
00E003,646.556,4681.1253
00E004,646.498,4681.2449
00E005,646.4606,4681.324
00E006,646.3829,4681.2387
00E007,646.3041,4681.1696
00E008,646.3552,4681.1053
00E009,646.4508,4681.141
00E010,646.4072,4681.0734
00E011,646.5031,4681.0923
00E012,646.3368,4680.9826
00E013,646.2097,4681.0804
00E014,645.5432,4681.4787
00E015,646.1735,4680.9872
00E016,646.1516,4680.7411
00E017,646.2204,4680.817
00E018,645.1663,4681.8661
00E019,645.8053,4680.4122
00E020,646.0419,4680.6724
00E021,645.9274,4680.7173
00E022,645.8474,4680.6559
00E023,645.923,4680.6048
00E024,645.7552,4680.34
00E025,645.5428,4680.2809
00E026,645.0995,4681.9633
00E027,644.8817,4682.0661
00E028,643.7005,4678.4135
00E029,642.8143,4678.6761
00E030,643.7237,4678.3026
00E031,642.4695,4678.6598
00E032,642.3251,4679.0288
00E033,642.3262,4678.9404
00E034,641.5904,4678.5132
00E035,641.6501,4678.6186
00E036,641.2904,4678.7053
00E037,640.4532,4678.5697
00E038,640.2632,4678.7305
00E039,640.1833,4678.6156
00E040,639.5589,4678.6483
00E041,639.6872,4678.7075
00E042,640.0151,4678.5104
00E043,640.5826,4678.589
00E044,637.3297,4664.4586
00E045,637.7682,4664.8378
00E046,638.2184,4665.2596
00E047,638.4461,4665.1294
00E048,638.5141,4665.2127
00E049,639.2796,4665.6698
00E050,637.1132,4666.9437
00E051,631.2161,4685.9381
00E052,631.3786,4685.8776
00E053,631.5646,4685.8386
00E054,630.9929,4686.0085
00E055,631.0031,4686.0828
00E056,630.0446,4685.2188
00E057,630.0993,4685.4408
00E058,630.1341,4685.7146
00E059,630.238,4685.6961
00E060,630.7484,4685.6703
00E061,630.6428,4684.7768
00E062,629.4423,4685.7166
00E063,629.6181,4685.5106
00E064,629.5286,4685.8473
00E065,628.0713,4685.6687
00E066,627.9917,4685.6764
00E067,627.7163,4685.5001
00E068,627.2649,4684.1232
00E069,627.424,4684.209
00E070,627.3959,4684.1467
00E071,627.8402,4684.1664
00E072,629.9608,4684.7807
00E073,637.1222,4671.0902
00E074,637.2222,4671.1885
00E075,637.1372,4671.1859
00E076,637.0491,4671.2041
00E078,636.5406,4670.9661
00E079,636.5568,4671.1276
00E080,636.7657,4671.1128
00E081,636.5491,4671.3056
00E082,636.3867,4671.5106
00E085,636.1636,4671.3802
00E094,634.1783,4670.8099
00E096,633.4968,4671.0238
00E097,633.4118,4671.2357
00E098,633.2575,4671.3856
00E099,633.2845,4671.5404
00E100,633.5291,4671.3188
00E101,633.5895,4671.281
00E102,633.4915,4671.2428
00E103,633.6157,4671.1999
00E104,633.8497,4671.3364
00E105,633.936,4671.2841
00E106,633.7292,4671.3929
00E107,633.6715,4671.5088
00E108,634.0899,4671.442
00E109,634.2277,4671.2395
00E110,634.3082,4671.232
00E111,634.175,4671.2496
00E112,634.1748,4671.3953
00E113,634.0609,4672.5347
00E114,634.2144,4671.5386
00E115,634.3773,4671.356
00E116,634.3625,4671.2634
00E117,634.5731,4672.4819
00E118,634.6376,4672.4902
00E119,634.5669,4672.4033
00E120,634.535,4672.3078
00E121,634.7479,4672.532
00E122,634.4498,4671.8194
00E123,635.0919,4671.4642
00E124,635.0445,4671.2088
00E125,635.4068,4671.4177
00E126,635.2123,4671.3545
00E127,636.1099,4672.0942
00E128,635.7818,4671.7061
00E129,636.2345,4671.6488
00E130,635.5572,4671.4921
01A213,648.5218,4693.6562
01A214,648.6982,4693.5629
01A215,648.618,4693.6037
01A216,648.3102,4693.7281
01A217,648.4911,4693.6095
01A218,648.4693,4693.56
01A219,648.5553,4693.544
01A220,648.5247,4693.4973
01A221,648.6399,4693.5075
01A222,648.1356,4693.9748
01A223,646.4394,4694.3176
01A224,646.8923,4694.0503
01A225,646.8952,4694.1224
01A226,646.1365,4693.1806
01A227,646.1218,4693.2938
01A228,646.2477,4693.2771
01A229,646.3736,4693.2246
01A230,646.147,4693.0967
01A231,647.15,4692.7046
01A232,647.278,4692.6942
01A233,647.3997,4692.6208
01A234,647.4458,4692.5914
01A235,647.7897,4692.3103
01A236,647.9033,4692.3352
01A237,647.9047,4692.2203
01A238,649.1069,4691.8985
01A239,649.0034,4691.924
01A240,649.0097,4691.8278
01A241,649.0247,4691.7453
01A242,648.9322,4691.8815
01A243,648.9384,4691.7478
01A244,647.7039,4692.4593
01A245,648.8847,4691.879
01A246,648.8859,4691.7641
01A247,648.7497,4691.8977
01A248,648.8459,4691.8465
01A249,648.5211,4691.9774
01A250,648.2427,4692.0639
01A251,647.5696,4692.3985
01A252,647.6263,4692.3419
01A253,648.5396,4691.408
01A254,648.9084,4691.5267
01A255,648.2883,4691.5329
01A256,645.9996,4692.4914
01A257,645.9359,4692.4612
01A258,645.9913,4692.4058
01A259,645.4432,4691.9921
01A260,645.5266,4692.0677
01A261,645.7175,4692.0382
01A262,645.6762,4691.867
01A263,645.6324,4691.7907
01A264,646.386,4690.7482
01A265,647.4346,4690.1401
01A266,648.2827,4689.4583
01A267,641.0254,4691.3223
01A268,640.7702,4691.1976
01A269,641.0129,4691.2451
01A270,640.9445,4691.1562
01A271,640.927,4691.0999
01A272,640.7726,4691.0937
01A273,641.0034,4691.1709
01A274,641.0545,4691.1454
01A275,640.7257,4691.0834
01A276,640.6145,4691.1584
01A277,640.6875,4691.4233
01A278,640.7507,4691.4949
01A279,640.5455,4691.5376
01A280,640.4972,4691.4597
01A281,640.449,4691.3867
01A282,640.3109,4691.4375
01A283,640.348,4691.5293
01A284,640.3864,4691.5993
01A285,640.4382,4691.678
01A286,640.4862,4691.7581
01A287,640.5514,4691.8189
01A288,640.4823,4691.8575
01A289,640.3563,4691.686
01A290,640.0798,4691.7181
01A291,640.0666,4691.6218
01A292,640.0294,4691.5445
01A293,640.304,4691.58
01A294,640.2225,4691.5115
01A295,640.1945,4691.4385
01A296,640.0407,4691.4061
01A297,640.0236,4691.732
01A298,639.5988,4691.8106
01A299,639.6405,4691.8968
01A300,640.6907,4693.376
01A301,639.2091,4692.1134
01A302,639.2568,4692.2038
01A303,639.1008,4692.1886
